0409,成本管理员,Cost Accounting Specialist
0449,资金经理/主管,Treasury Manager/Supervisor
0450,资金专员,Treasury Specialist
A0KE,出纳,teller
0460,注册会计师,CPA
0404,会计经理/主管,Accounting Manager/Supervisor
0405,会计师,Accountant / Accounting Trainee
2D01,总账会计,GL Accountant
2D02,结算会计,Settlement Accounting
2D03,建筑/工程会计,Construction/Engineering Accounting
0448,固定资产会计,Fixed Asset Accounting
A0KE,出纳,teller
1111,法务总监,Legal Director
1106,法务经理,Corporate Counsel/Compliance Officer
1113,法务主管,Legal Supervisor
1114,法律顾问,Legal Counsel
1108,知识产权/专利/商标,Intellectual Property/Patent Advisor/Trademark
1107,法务专员/助理,Legal Assistant
0410,审计经理/主管,Audit Manager/Supervisor
0419,审计专员/助理,Audit Executive/Assistant
0411,税务经理/主管,Tax Manager/Supervisor
0412,税务专员/助理,Tax Executive/Assistant
1109,合规经理,Compliance Manager
1F01,合规主管,Compliance Director
1F02,合规专员,Compliance Officer
2209,风险控制,Risk Management
2229,信审核查,Credit Review
4612,监察人员,Real Estate Supervisor
0444,首席财务官CFO,Chief Financial Officer CFO
0401,高级财务总监/财务总监,Finance Controller / Director
8053,运营助理,Operation Assistant
8047,运营专员,Operations Specialist
8048,运营主管,Operations Supervisor
8049,运营经理,Operations Manager
A0LC,网站运营,Web Operations Manager/Supervisor
A0LD,网络推广,Online Marketing Manager/Supervisor
8041,用户运营,User Operation
8044,数据运营,Data Operation
8057,产品运营,Product Operation
7814,游戏运营,Game Operation
8042,活动运营,Activity Operation
7815,电子竞技运营,E-sports Operation
6102,国内电商运营,Domestic E-Commerce Operation
6112,跨境电商运营,Cross-border E-Commerce Operation
6105,店铺推广,Online Shop Marketing
8051,品类运营,Category Operation
A0LE,新媒体运营,New Media Operation
8059,直播运营,Live Operation
8058,社区/社群运营,Community Operation
8052,内容审核,Content Auditor
9301,线下拓展运营,Offline Expansion Operation
9303,线下推广,Offline Promotion
9302,车辆运营,Vehicle Operation
6109,电商专员,E-Commerce Specialist
6110,电商经理/电商主管,E-Commerce Manager/Supervisor
6111,电商总监,E-Commerce Director
6101,网店店长,Online Shop Manager
8050,运营总监,Operations Director
0707,首席运营官COO,COO
9401,首席营销官CMO,CMO
9401,首席营销官CMO,CMO
0301,市场/营销/拓展总监,Marketing / BD Director / VP
0302,市场/营销/拓展经理,Marketing / BD Manager
0303,市场/营销/拓展主管,Marketing / BD Supervisor
0304,市场/营销/拓展专员,Marketing / BD Executive/Communication
0306,品牌经理,Brand Manager
0307,品牌主管,Brand Supervisor
0330,品牌专员,Brand Executive
0336,市场企划经理/主管,Marketing Planning Manager/Supervisor
0337,市场企划专员,Marketing Planning Executive
0324,市场分析/调研人员,Market Analyst/ Research Analyst
0305,市场助理,Marketing Assistant / Trainee
0339,SEO/SEM,SEO/SEM
0338,选址拓展/新店开发,Site Development
0340,互联网营销师,Internet Marketer
A0K8,市场通路,Trade Marketing
4205,广告创意总监,Advertising Creative Director
4216,广告创意/设计主管,Advertising Creative/Design Supervisor
4217,广告创意/设计专员,Advertising Creative/Design Executive
4201,广告客户总监/副总监,Advertising Account Director/Associate Director
4202,广告客户经理,Advertising Account Manager
4218,广告客户主管,Advertising Account Supervisor
4219,广告客户专员,Advertising Account Executive
4207,文案/策划,Copywriter/Planner
4209,企业策划人员,Business Planning Staff
4214,广告投放专员,Advertising Executive
4213,广告销售,Advertising Sales
4212,广告制作执行,Advertising Production Executive
4204,广告创意/设计经理,Advertising Creative/Design Manager
4211,美术指导,Art Director
4208,企业/业务发展经理,Business Development Manager
4215,广告投放经理/主管,Advertising Manager/Executive
4315,公关总监,Public Relations Director
4301,公关经理,Public Relations Manager
4302,公关主管,Public Relations Supervisor
4303,公关专员,Public Relations Executive
4310,公关/媒介助理,Public Relations/Media Assistant
4121,政府事务管理,Government Affairs
4313,活动策划,Event Planner
4314,活动执行,Event Execution
4307,媒介经理,Media Manager
4308,媒介主管,Media Supervisor
4309,媒介专员,Media Specialist
4304,会务/会展经理,Exhibition/Event Manager
4305,会务/会展主管,Exhibition/Event Supervisor
4306,会务/会展专员,Exhibition/Event Executive
4312,媒介销售,Media Sales
6917,室内设计师助理,Interior Design Assistant
6918,室内设计经理/主管,Interior Design Manager/Supervisor
6919,室内设计总监,Interior Design Director
6904,规划与设计,Design/Planning
6905,建筑设计师,Architectural Designer
6914,园艺/园林/景观设计,Gardening Designer
6911,暖通设计,HVAC Designer
6908,建筑结构设计,Architectural Structure Designer
6909,建筑制图/模型/渲染,CAD Drafter/Building Model/Rendering
6912,给排水设计,Drainage Designer
6910,建筑机电设计,Building Electrical and Mechanical Designer
6906,钢结构设计,Steel Structure Designer
6916,BIM工程师,BIM Engineer
6907,幕墙设计,Curtain Wall Designer
6913,城市规划设计,Urban Planning
0941,家居设计,Household Design
6902,软装设计,Furnishing Designer
6920,家装顾问,Home decoration Consultant
0934,照明设计,Lighting Design
A0LL,室内设计,Interior Design/Architectural Drawing
0936,陈列设计,Display Design
0919,工业设计/产品设计,Industrial Designer
0927,包装设计,Package Design
7410,仿真应用工程师,Simulation Application Engineer
0925,展览/展示/店面设计,Exhibition/Display/Storefront Design
0940,家具设计,Furniture Design
0920,工艺品/珠宝设计鉴定,Artwork/Jewelry Design and Appraisal
0934,照明设计,Lighting Design
0936,陈列设计,Display Design
0929,玩具设计,Toy Design
7409,计算机辅助设计工程师(CAD绘图),Computer Aided Design Engineer
7419,美工/电商设计师,Online Shop Graphic Designer
7412,UI设计师,UI Designer
7403,视觉设计师,Visual Effects Designer
7401,网页设计师,Web Designer
7416,多媒体设计,Multimedia Design
7404,用户体验(UE/UX)设计师,User Experience(UE/UX) Designer
7402,交互设计师,Interaction Designer
6617,用户研究,User Research
7406,Flash设计师,Flash Designer
7424,互联网设计经理/主管,Internet Design Manager/Supervisor
7423,互联网设计总监,Internet Design Director
7413,平面设计师,Graphic Artist/Designer
7421,平面设计经理/主管,Graphic Design Manager/Supervisor
7420,平面设计总监,Graphic Design Director
3801,服装/纺织设计,Fashion/Textiles Designer
3813,服装/纺织/皮革工艺师,Fashion/Textiles/Leather Technologist
3802,面料辅料开发,Fabric/Accessories Development
3812,服装/纺织设计总监,Fashion/Textiles Design Director
7422,动画/3D设计,Animation/3D Design
7417,绘画,Graphic Illustrator
7418,原画师,Original Artist
7407,特效设计师,Special Effects Designer
4217,广告创意/设计专员,Advertising Creative/Design Executive
4216,广告创意/设计主管,Advertising Creative/Design Supervisor
4204,广告创意/设计经理,Advertising Creative/Design Manager
7819,游戏场景设计师,Game Scene Designer
7806,游戏界面设计师,Game UI Designer
7817,游戏特效设计师,VFX Artist
7820,游戏角色设计师,Game Role Designer
7818,游戏动作设计师,Game Action Designer
7807,游戏原画师,Game Original Designer
7808,游戏动画师,Game Animator
7822,UE4特效师,UE4 VFX Artist
7424,互联网设计经理/主管,Internet Design Manager/Supervisor
7423,互联网设计总监,Internet Design Director
7421,平面设计经理/主管,Graphic Design Manager/Supervisor
7420,平面设计总监,Graphic Design Director
4204,广告创意/设计经理,Advertising Creative/Design Manager
4205,广告创意总监,Advertising Creative Director
6918,室内设计经理/主管,Interior Design Manager/Supervisor
6919,室内设计总监,Interior Design Director
3812,服装/纺织设计总监,Fashion/Textiles Design Director
6602,产品经理/主管,Product Manager/Supervisor
6601,产品专员,Product Specialist
6603,产品助理,Product Assistant
A0JS,需求工程师,Requirements Engineer
6608,电商产品经理,E-commerce Product Manager
6607,用户产品经理,User product manager
6611,数据产品经理,Data Product Manager
6616,增长产品经理,Growth Product Manager
6613,策略产品经理,Strategic Product Manager
6614,商业化产品经理,Commercial Product Manager
6612,AI产品经理,AI Product Manager
6615,平台产品经理,Platform Product Manager
6617,用户研究,User Research
8604,智能硬件产品经理,Intelligent Hardware Product Manager
A0LI,半导体产品经理/产品工程师,IC Product Manager/Engineer
8602,IoT产品经理,IoT Product Manager
8603,AR/VR产品经理,AR/VR Product Manager
3312,金融产品经理,Financial Product Manager
8701,旅游产品经理,Tourism Product Manager
8702,医药产品经理,Medical Product Manager
8703,化妆品产品经理,Cosmetics Product Manager
2954,电子产品经理/产品工程师,Electronic Product Manager/Engineer
2813,通信产品经理/产品工程师,Telecommunication Product Manager/Product Engineer
7801,游戏策划师,Game Planner
7803,游戏数值策划,Game Value Planning
7802,游戏系统策划,Game System Planning
7805,游戏文案策划/剧情策划,Game Copywriting / Plot Planning
7804,游戏关卡策划,Game Level Planning
8501,游戏制作人,Game Producer
6604,高级产品总监/产品总监,Product Director
8801,首席产品官CPO,CPO
8802,产品VP,Product VP
0584,机械项目管理,Mechanical project management
7905,ERP实施顾问,ERP Implementation
7101,汽车项目管理,Automotive Project Management
2106,建筑工程管理/项目经理,Construction Project Management
2821,通信项目管理,Telecommunications Project Manager
2606,项目经理,Project Manager
2610,项目助理,Project Assistant
2607,项目主管,Project Supervisor
2605,项目总监,Project Director
0539,机械工程师,Mechanical Engineer
0547,工艺/制程工程师,Process Engineer
0511,机械研发工程师,Mechanical R&D engineer
0515,机械设备工程师,Mechanical equipment engineer
0561,机械结构工程师,Mechanical structural engineer
0584,机械项目管理,Mechanical project management
6201,CNC/数控操机,CNC operator
0586,机械设计,Machine Design
0544,机电工程师,Electrical & Mechanical Engineer
0560,工业工程师,Industrial Engineer
0523,机械制图,Mechanical drawing
0548,模具工程师,Tooling Engineer
0510,机械研发经理/主管,Mechanical R&D Manager/Supervisor
0582,材料工程师,Material Engineer
0581,机械装配工程师,Mechanical assembly engineer
0563,注塑工程师,Injection molding engineer
A0K0,CNC/数控编程,CNC programming
A0JZ,机械设备经理/主管,Mechanical Equipment Manager
0512,实验室负责人/工程师,Lab Manager/Engineer
0587,模具设计,Mold Design
0564,焊接工程师,Welding engineer
0565,夹具工程师,Fixture engineer
0559,机械产品工程师,Mechanical product engineer
0562,铸造/锻造工程师/技师,Casting/Forging Engineer
0573,飞行器设计与制造,Aircraft Design & Manufacture
A0K1,机械维修/保养,Mechanical maintenance engineer
0572,船舶工程师,Shipping Engineer
0567,冲压工程师,Stamping engineer
0570,光源与照明工程,Lighting Engineer
A0K2,热能工程师,Thermal Engineer
0575,轨道交通工程师,Rail transit engineer
0576,飞机维修机械师,Aviation Maintenance Technician
3734,普工/操作工,General Worker
3715,组装工,Assembly Worker
3716,包装工,Packaging Worker
3727,学徒工,Apprentice
0836,搬运工,Mover
0839,装卸工,Stevedore
3735,电工,Electrician
6203,机修工,Mechanic
3708,空调工,Air-Condition Worker
3726,锅炉工,Boiler Operator
3725,电梯工,Elevator Worker
3723,木工,Carpenter
3709,水工,Plumber
3736,技工,Technician / Engineer Trainee
3720,仪表工,Instrument Staff
3722,喷塑工,Powder Coat Painter
3734,普工/操作工,General Worker
3732,叉车司机,Forklift Driver
3728,吊车司机,Craneman
3733,铲车司机,Bulldozer Drivers
3729,挖掘机司机,Excavator Driver
3703,焊工,Electric Welding Worker
3717,氩弧焊工,Argon Arc Welder
6201,CNC/数控操机,CNC operator
6210,钳工,Locksmith
6205,车工,Latheman
6217,模具工,Mould Worker
6216,切割技工,Cutting Technician
6206,磨工,Grinder
6207,铣工,Miller
6221,注塑工,Injection Moulder
6215,抛光工,Polisher
6204,折弯工,Press Brake Operator
6208,冲压工,Puncher
6214,钣金工,Metaler
6211,钻工,Driller
6213,铆工,Riveter
3721,电镀工/镀膜操作,Galvanizer
3731,模切工,die-cutter
6212,镗工,Borer
6220,吹膜工,Film Blowing Worker
6218,炼胶工,Millman
6219,硫化工,Sulfur Chemical Worker
6209,刨工,Planer
3736,技工,Technician / Engineer Trainee
3604,质检员QC,Quality Inspector QC
3603,质量工程师,Quality engineer
3602,质量/品质主管,Quality Supervisor
3601,质量/品质经理,quality manager
3610,EHS安全工程师,EHS Safety Engineer
3609,EHS安全经理/主管,EHS Safety Manager/Supervisor
A0KG,体系工程师,Standardization Engineer
3614,生产安全员,Safety Protection
A0KD,供应商质量工程师,Supplier Quality Engineer
3615,体系认证审核员,System certification auditor
3607,认证工程师,Certification Engineer
3612,采购材料、设备质量管理,Supplies & Equipment Quality Management
3805,服装纺织质检员(QA/QC),Fashion/Textiles Quality Management QA/QC
5404,汽车质量工程师,Automotive Quality Management
5424,客户质量工程师,Customer Quality Engineer
5422,前期质量工程师,Preliminary Quality Engineer
5423,过程质量工程师,Process Quality Engineer
4108,药品生产/质量管理,Pharmaceutical Manufacturing/Quality Management
4118,医疗器械生产/质量管理,Medical Equipment Manufacturing/Quality Control
4116,化学分析测试员,Chemical Analyst
3605,可靠度工程师,Reliability Engineer
3606,故障分析工程师,Fault Analysis Engineer
3614,生产安全员,Safety Protection
A0LM,施工安全员,Construction Safety Officer
2112,消防安全,Fire Safety
3610,EHS安全工程师,EHS Safety Engineer
3609,EHS安全经理/主管,EHS Safety Manager/Supervisor
0584,机械项目管理,Mechanical project management
3508,生产计划/物料管理(PMC),Planner/PMC
3515,生产领班/组长,Production Team Leader
3509,生产主管,Production Supervisor
3507,生产经理/车间主任,Production Manager/Workshop Supervisor
3512,生产文员,Production Clerk
3504,项目工程师,Project Engineer
3503,生产项目经理,Production Project Manager
3501,工厂经理/厂长,Plant/Factory Manager
3516,设备主管,Equipment Supervisor
3506,营运主管,Production Operations Supervisor
3505,营运经理,Production Operations Manager
3514,生产总监,Production Director
3510,化验员,Laboratory Technician
3518,生产跟单,Production Technician
3517,厂务,Facility
3502,总工程师/副总工程师,Chief Engineer
0571,汽车/摩托车工程师,Automotive Engineer
7102,汽车设计工程师,Automotive Design Engineer
7106,汽车电子工程师,Automotive Electronics Engineer
7114,新能源电池工程师,New Energy Battery Engineer
7107,电气/电器工程师,Electrical / Electronics Engineer
7101,汽车项目管理,Automotive Project Management
7105,内外饰工程师,Automotive Interior And Exterior Construction Engineer
7104,汽车结构工程师,Automotive Structural Engineer
7111,底盘工程师,Chassis Engineer
7113,汽车试验工程师,Automobile Test Engineer
7116,新能源电机工程师,New Energy Electrical Engineer
7115,新能源电控工程师,New Energy Electronic Control Engineer
7103,车身/造型设计,Car Body / Styling Design
7112,汽车安全性能工程师,Safety Performance Engineer
7121,研发总监/部长/专家,R&D Director / Leader / Expert
7109,动力总成工程师,Powertrain Engineer
7117,汽车标定工程师,Automobile Calibration Engineer
7120,智能驾驶工程师,Intelligent Driving Engineer
7110,发动机工程师,Engine Engineer
7108,附件系统工程师,Accessories System Engineer
7119,车联网工程师,Car Networking Engineer
7124,智能驾驶测试工程师,Driverless Test Engineer
7118,发动机匹配工程师,Engine Matching Engineer
3828,浆纱工,Warp Sizing Worker
3801,服装/纺织设计,Fashion/Textiles Designer
3812,服装/纺织设计总监,Fashion/Textiles Design Director
3804,服装/纺织/皮革跟单,Apparels/Textiles/Leather Goods Merchandiser
3805,服装纺织质检员(QA/QC),Fashion/Textiles Quality Management QA/QC
3807,打样/制版,Sample Production
3813,服装/纺织/皮革工艺师,Fashion/Textiles/Leather Technologist
3802,面料辅料开发,Fabric/Accessories Development
3816,缝纫工,Tailor
3803,面料辅料采购,Fabric/Accessories Purchasing
3808,纸样师/车板工,Paper Sample
3819,样衣工,Sample Worker
3814,服装领班,Apparels Foreman
3815,裁剪工,Cutter
3809,裁床,Cut Bed
3818,烫工,Ironer
3806,板房/楦头/底格出格师,Shoe Tree Design
3820,纺织工,Weaver
3823,印染工,Dyeing and Printing Workers
3811,电脑放码员,Grading
3817,手缝工,Hand Sewing Workers
3825,挡车工,Spinner
3822,配色工,Color Matching Technician
3821,针织工,Knitter
3824,漂染工,Dyeing Workers
3826,整经工,Warper
3827,细纱工,Doffer
5404,汽车质量工程师,Automotive Quality Management
5424,客户质量工程师,Customer Quality Engineer
5406,汽车装配工艺工程师,Assembly Process Engineer
5426,焊接工艺工程师,Welding Process Engineer
5423,过程质量工程师,Process Quality Engineer
5428,涂装工艺工程师,Painting Process Engineer
5422,前期质量工程师,Preliminary Quality Engineer
5427,冲压工艺工程师,Stamping Process Engineer
5425,总装工程师,Assembly Engineer
6309,印刷机械机长,Printing Machine Operator
6301,印刷工,Printer
6307,印刷排版/制版,pattern making
6314,切纸机操作工,Paper Cutter Operator
6302,校对/录入,Proofreader/Data Entry Staff
6304,调色员,Color Mixing Worker
6317,复卷工,Rewinding Worker
6311,调墨技师,Ink Technician
6305,烫金工,Gold-Blocking Worker
6308,装订工,Binder
6310,数码直印/菲林输出,Digital/Film Printing
6316,压痕工,Indenting Worker
6306,晒版员,Stapler
6315,裱胶工,Laminating Glue Worker
6312,电分操作员,Operator-Colour Distinguishing
6313,打稿机操作员,Operator
A0L8,电气工程师,Electrical Engineer
2910,嵌入式软件开发(Linux/单片机/PLC/DSP等),Embedded Software Engineer (Linux/SCM/PLC/DSP…)
2955,硬件工程师,Hardware Engineer
A0L7,电子工程师,Electronics Engineer
